2025-07-05 09:33:02,452 - INFO - --- Starting ProjectX Backtest for ['MNQ'] from 2025-06-30 00:00:00 to 2025-07-03 00:00:00 ---
2025-07-05 09:33:02,453 - INFO - Initial Balance: $2,000.00
2025-07-05 09:33:02,623 - INFO - 
--- Simulating Day: 2025-06-30 ---
2025-07-05 09:33:02,792 - WARNING - No previous trading day with RTH data found before 2025-06-30. Searched 180 past dates.
2025-07-05 09:33:02,793 - INFO - Calculated Premarket Levels from 2025-06-30: PMH=22916.00, PML=22853.00
2025-07-05 09:33:02,793 - INFO - CRITICAL: Could not calculate PDH/PDL for MNQ on 2025-06-30. Skipping day.
2025-07-05 09:33:02,794 - WARNING - No data for any symbol on 2025-06-30. Skipping day.
2025-07-05 09:33:02,794 - INFO - 
--- Simulating Day: 2025-07-01 ---
2025-07-05 09:33:02,798 - INFO - Calculated RTH PDH/PDL from 2025-06-30: PDH=22934.00, PDL=22780.00
2025-07-05 09:33:02,800 - INFO - Calculated Premarket Levels from 2025-07-01: PMH=22858.50, PML=22756.00
2025-07-05 09:33:02,806 - INFO - --- Starting Minute-by-Minute Simulation ---
2025-07-05 09:33:02,820 - INFO - [2025-07-01 10:23:00 UTC / 10:23:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22792.25
2025-07-05 09:33:02,821 - INFO - [2025-07-01 10:24:00 UTC / 10:24:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22788.00
2025-07-05 09:33:02,821 - INFO - [2025-07-01 10:25:00 UTC / 10:25:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22788.00
2025-07-05 09:33:02,821 - INFO - [2025-07-01 10:26:00 UTC / 10:26:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22763.50
2025-07-05 09:33:02,822 - INFO - [2025-07-01 10:27:00 UTC / 10:27:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22763.50
2025-07-05 09:33:02,822 - INFO - [2025-07-01 10:28:00 UTC / 10:28:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22767.25
2025-07-05 09:33:02,822 - INFO - [2025-07-01 10:29:00 UTC / 10:29:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22767.25
2025-07-05 09:33:02,822 - INFO - [2025-07-01 10:30:00 UTC / 10:30:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22776.25
2025-07-05 09:33:02,823 - INFO - [2025-07-01 10:31:00 UTC / 10:31:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22776.25
2025-07-05 09:33:02,823 - INFO - [2025-07-01 10:32:00 UTC / 10:32:00 ET] Symbol: MNQ, State: AWAITING_BREAK, Price: 22748.00
